Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Weasel,0    ,Beast,N/A,Tiny,Un,"Arctic, Coastal, Forest, Hill, Swamp",MM p.340,,
Weeping treant,6    ,Plant,N/A,Huge,N,"Forest, Swamp",ToB p.388,,
Werebear,5    ,Humanoid,Human/shapechanger,Medium,NG,"Arctic, Forest, Hill",MM p.208,,
Wereboar,4    ,Humanoid,Human/shapechanger,Medium,NE,"Forest, Grassland, Hill",MM p.209,,
Weredactyl,2    ,Humanoid,Shapechanger,Medium,NE,"Forest, Grassland, Hill",FEF p.246,,
Wererat,2    ,Humanoid,Human/shapechanger,Medium,LE,"Forest, Urban",MM p.209,,
Wereraven,2    ,Humanoid,Human/shapechanger,Medium,LG,"Forest, Hill",CoS p.242,,
Weretiger,4    ,Humanoid,Human/shapechanger,Medium,N,"Desert, Forest, Grassland",MM p.210,,
Werewolf,3    ,Humanoid,Human/shapechanger,Medium,CE,"Forest, Hill",MM p.211,,
White ape,6    ,Monstrosity,N/A,Large,N,"Forest, Grassland, Hill",ToB p.408,,
Widow creeper,10    ,Plant,N/A,Large,Un,Forest,FEF p.247,,
Will-o'-wisp,2    ,Undead,N/A,Tiny,CE,"Forest, Swamp, Urban",MM p.301,,
Witch grass,0    ,Plant,N/A,Small,Un,"Forest, Grassland, Hill, Swamp",FEF p.248,,
Witherstench,0    ,Monstrosity,N/A,Small,Un,"Forest, Grassland, Hill",FEF p.249,,
Wolfwere,1    ,Monstrosity,Shapechanger,Medium,CE,"Arctic, Forest, Grassland, Hill, Underdark",FEF p.230,,
Wood woad,5    ,Plant,N/A,Medium,LN,"Forest, Swamp",VGtM p.198,,
Woolly rhinoceros,6    ,Beast,N/A,Large,Un,"Arctic, Forest, Grassland, Swamp",FEF p.186,,
Wyvern,6    ,Dragon,N/A,Large,Un,"Forest, Hill, Mountain, Swamp",MM p.303,,
Xvart, 1/8,Humanoid,Xvart,Small,CE,"Forest, Hill, Mountain, Underdark",VGtM p.199-200,,
Xvart warlock of raxivort,1    ,Humanoid,Xvart,Small,CE,"Forest, Hill, Mountain, Underdark",VGtM p.199-200,,
Yellow musk creeper,1    ,Plant,N/A,Large,Un,"Forest, Swamp, Underdark",FEF p.250,,
Yellow musk zombie, 1/4,Plant,N/A,Medium,NE,"Forest, Swamp, Underdark",FEF p.251,,
Yeth hound,4    ,Fey,N/A,Large,NE,"Forest, Grassland, Hill, Special",VGtM p.201,,
Yuan-ti abomination,7    ,Monstrosity,Yuan-ti/shapechanger,Large,NE,"Desert, Forest, Swamp",MM p.308,,
Yuan-ti anathema,12    ,Monstrosity,Yuan-ti/shapechanger,Huge,NE,"Desert, Forest, Swamp",VGtM p.202-203,,
Yuan-ti broodguard,2    ,Humanoid,Yuan-ti,Medium,NE,"Desert, Forest, Swamp",VGtM p.203,,
Yuan-ti malison,3    ,Monstrosity,Yuan-ti/Shapechanger,Medium,NE,"Desert, Forest, Swamp",MM p.309,,
Yuan-ti mind whisperer,4    ,Monstrosity,Yuan-ti/shapechanger,Medium,NE,"Desert, Forest, Swamp",VGtM p.203-204,,
Yuan-ti nightmare speaker,4    ,Monstrosity,Yuan-ti/shapechanger,Medium,NE,"Desert, Forest, Swamp",VGtM p.204-205,,
Yuan-ti pitmaster,5    ,Monstrosity,Yuan-ti/shapechanger,Medium,NE,"Desert, Forest, Swamp",VGtM p.206,,
Yuan-ti pureblood,1    ,Monstrosity,Yuan-ti,Medium,NE,"Desert, Forest, Swamp, Urban",MM p.310,,
Zmey,14    ,Dragon,N/A,Huge,CE,"Forest, Swamp, Underdark, Underwater",ToB p.416-417,,
